temperature,burden_shift,mean_replication,mean_latency,frustration_index,replica_q,final_energy,reactivation_cascade_risk
0.4,-0.2,0.15729166666666666,0.5177083333333333,0.14285714285714285,0.30939374999999997,0.7499999999999998,0.17976190476190473
0.4,-0.09999999999999999,0.21458333333333332,0.36875,0.0,0.21678020833333336,0.44999999999999973,0.21458333333333332
0.4,2.7755575615628914e-17,0.30666666666666664,0.25,0.42857142857142855,0.112259375,2.4499999999999997,0.4380952380952381
0.4,0.10000000000000003,0.49895833333333334,0.10416666666666667,0.2,0.26221093749999996,1.1999999999999997,0.59875
0.4,0.20000000000000007,0.34625,0.19208333333333333,0.0,0.07365416666666667,-0.5500000000000012,0.34625
0.4,0.3000000000000001,0.6241666666666666,0.06666666666666667,0.3,0.40426145833333343,-8.881784197001252e-16,0.8114166666666667
0.4,0.4,0.62,0.0475,0.2,0.3860906250000001,-1.1500000000000004,0.744
0.7714285714285715,-0.2,0.17520833333333333,0.43854166666666666,0.14285714285714285,0.14439479166666666,0.050000000000000044,0.20023809523809522
0.7714285714285715,-0.09999999999999999,0.22770833333333335,0.3797916666666667,1.0,0.07917395833333334,2.3,0.4554166666666667
0.7714285714285715,2.7755575615628914e-17,0.2835416666666667,0.23979166666666665,0.0,0.01668333333333333,0.7499999999999998,0.2835416666666667
0.7714285714285715,0.10000000000000003,0.3541666666666667,0.18833333333333332,0.0,0.05481666666666667,0.2999999999999994,0.3541666666666667
0.7714285714285715,0.20000000000000007,0.3622916666666667,0.23875,0.23076923076923078,0.08694322916666668,-0.10000000000000142,0.4458974358974359
0.7714285714285715,0.3000000000000001,0.5197916666666667,0.119375,0.0,0.18766041666666664,-1.450000000000001,0.5197916666666667
0.7714285714285715,0.4,0.4947916666666667,0.124375,0.14285714285714285,0.21539374999999994,-2.0999999999999996,0.5654761904761905
1.1428571428571428,-0.2,0.20125,0.395625,0.3333333333333333,0.0632296875,1.5,0.2683333333333333
1.1428571428571428,-0.09999999999999999,0.26625,0.37666666666666665,0.75,0.05825416666666667,2.4499999999999997,0.4659375
1.1428571428571428,2.7755575615628914e-17,0.2660416666666667,0.329375,0.14285714285714285,0.035887499999999996,1.15,0.30404761904761907
1.1428571428571428,0.10000000000000003,0.33208333333333334,0.2679166666666667,0.4,0.042371874999999996,1.3499999999999996,0.46491666666666664
