temperature,burden_shift,frustration_index,replica_q,reactivation_cascade_risk,final_energy
0.4,-0.2,0.16666666666666666,0.3053288719990714,0.2568633808906183,-0.20000000000000018
0.4,-0.09999999999999999,0.14285714285714285,0.16105331717523816,0.3099630996309963,0.34999999999999964
0.4,2.7755575615628914e-17,0.5,0.07345578990845258,0.44095940959409596,1.7999999999999998
0.4,0.10000000000000003,0.14285714285714285,0.12449820969894988,0.32699619771863114,-1.7763568394002505e-15
0.4,0.20000000000000007,0.375,0.18553040695016002,0.6234182098765432,0.29999999999999893
0.4,0.3000000000000001,0.3333333333333333,0.13566614222170428,0.5754877014418999,0.3999999999999986
0.4,0.4,0.4,0.388165008650519,0.931188725490196,-1.3000000000000025
0.7714285714285715,-0.2,0.5,0.08674411592892005,0.4351503759398496,1.0
0.7714285714285715,-0.09999999999999999,0.2857142857142857,0.08315038834804464,0.32476375764313503,2.05
0.7714285714285715,2.7755575615628914e-17,0.5,0.09270964608275573,0.4506340579710145,1.9
0.7714285714285715,0.10000000000000003,0.2,0.07017764827094765,0.34944649446494463,1.85
0.7714285714285715,0.20000000000000007,0.13333333333333333,0.12044475950430582,0.4739331723027375,0.9999999999999991
0.7714285714285715,0.3000000000000001,0.16666666666666666,0.184143151160484,0.540199530516432,1.4499999999999993
0.7714285714285715,0.4,0.4,0.1493844696969697,0.7,1.0499999999999998
1.1428571428571428,-0.2,0.25,0.06395463510848126,0.30448717948717946,1.7499999999999996
1.1428571428571428,-0.09999999999999999,0.4166666666666667,0.07130061666741203,0.4444176319176319,1.9499999999999997
1.1428571428571428,2.7755575615628914e-17,0.4,0.08255962345258024,0.4464566929133858,1.9499999999999995
1.1428571428571428,0.10000000000000003,0.7142857142857143,0.08286596918330735,0.6661600810536981,2.4999999999999996
1.1428571428571428,0.20000000000000007,0.5,0.048003328135740986,0.5177304964539007,1.4499999999999995
1.1428571428571428,0.3000000000000001,0.8,0.10583162832992334,0.8385826771653543,2.5499999999999994
1.1428571428571428,0.4,0.4,0.0383253716999265,0.5662280701754385,-0.25
1.5142857142857142,-0.2,0.3333333333333333,0.03938399817520696,0.39275539275539273,1.7999999999999998
1.5142857142857142,-0.09999999999999999,0.25,0.06866650768935834,0.4888420724094882,1.7
1.5142857142857142,2.7755575615628914e-17,0.4166666666666667,0.024658204437562836,0.5063587684069613,2.049999999999999
1.5142857142857142,0.10000000000000003,0.6,0.049125514403292186,0.5822222222222222,3.25
1.5142857142857142,0.20000000000000007,0.4,0.042609778180172024,0.5324468085106382,2.05
1.5142857142857142,0.3000000000000001,0.75,0.07381367305650703,0.6251614987080103,2.9
1.5142857142857142,0.4,0.5714285714285714,0.082550048828125,0.6624348958333334,2.05
1.8857142857142857,-0.2,0.5,0.05483363440358954,0.48139312977099236,1.0499999999999998
1.8857142857142857,-0.09999999999999999,1.0,0.041776608378924975,0.702059202059202,1.15
1.8857142857142857,2.7755575615628914e-17,0.5555555555555556,0.048598536808413355,0.5718106995884774,2.2999999999999994
1.8857142857142857,0.10000000000000003,0.25,0.04922860272932733,0.44364508393285373,1.4
1.8857142857142857,0.20000000000000007,0.2,0.038494759637638036,0.4468309859154929,1.8000000000000003
1.8857142857142857,0.3000000000000001,0.2,0.07507052514105028,0.4578740157480315,1.2999999999999998
1.8857142857142857,0.4,0.5,0.07150587397650408,0.6273584905660378,3.1500000000000004
2.257142857142857,-0.2,0.4444444444444444,0.051487511809778286,0.4942415914147363,2.2499999999999996
2.257142857142857,-0.09999999999999999,0.4444444444444444,0.027741575327885584,0.38283861478807324,1.3999999999999995
2.257142857142857,2.7755575615628914e-17,0.5555555555555556,0.08843088034526797,0.6302681992337165,2.2999999999999994
2.257142857142857,0.10000000000000003,0.0,0.03400854396582414,0.35691823899371067,0.5999999999999994
2.257142857142857,0.20000000000000007,0.7,0.04128378629241851,0.6565298507462686,2.799999999999999
2.257142857142857,0.3000000000000001,0.0,0.0415175990876283,0.4064558629776021,0.7999999999999998
2.257142857142857,0.4,0.2,0.047953287760416664,0.482421875,0.2999999999999998
2.6285714285714286,-0.2,1.0,0.044341810564509705,0.6036204744069913,0.9999999999999999
2.6285714285714286,-0.09999999999999999,0.25,0.04060025361006159,0.3836930455635491,1.6499999999999995
2.6285714285714286,2.7755575615628914e-17,0.3333333333333333,0.02871978617223436,0.44038929440389296,1.4999999999999998
2.6285714285714286,0.10000000000000003,0.14285714285714285,0.05094214355095376,0.4105736782902137,1.3499999999999996
2.6285714285714286,0.20000000000000007,0.75,0.03257719237832874,0.6308396464646464,3.599999999999999
2.6285714285714286,0.3000000000000001,0.7,0.04625866249469094,0.6406291834002678,3.55
2.6285714285714286,0.4,0.25,0.025847320813273764,0.45825411913814956,-0.20000000000000062
3.0,-0.2,0.6666666666666666,0.034706678527701255,0.5113636363636364,1.9000000000000001
3.0,-0.09999999999999999,0.3333333333333333,0.017699175975499592,0.44128274616079494,2.0
3.0,2.7755575615628914e-17,0.3333333333333333,0.04700543652363992,0.4883040935672514,2.3999999999999995
3.0,0.10000000000000003,0.625,0.04575609151218302,0.5805856299212598,3.7
3.0,0.20000000000000007,0.0,0.03578303612254229,0.3743827160493827,0.8999999999999995
3.0,0.3000000000000001,0.7692307692307693,0.044180582800999284,0.5981087470449172,4.299999999999999
3.0,0.4,0.4,0.04733307702165834,0.5650326797385621,1.6999999999999997
